order,grid_x,grid_y,x_km,y_km,segment_dist_km,cum_dist_km,eta_hour_from_start
221,6,4,-11.330228692393044,-16.129470242048633,0.2708383553833702,84.70781670999324,7.623093656406872
222,7,4,-11.059390337009674,-16.129470242048633,0.2708383553833702,84.97865506537661,7.647467158511207
223,7,5,-11.059390337009674,-15.752340247413812,0.3771299946348208,85.35578506001144,7.681406142909589
224,7,6,-11.059390337009674,-15.37521025277899,0.37712999463482255,85.73291505464627,7.715345127307971
225,7,7,-11.059390337009674,-14.998080258144169,0.3771299946348208,86.1100450492811,7.749284111706354
226,6,7,-11.330228692393044,-14.998080258144169,0.2708383553833702,86.38088340466447,7.7736576138106885
227,6,6,-11.330228692393044,-15.37521025277899,0.3771299946348208,86.7580133992993,7.807596598209071
228,6,5,-11.330228692393044,-15.752340247413812,0.37712999463482255,87.13514339393413,7.841535582607453
229,5,5,-11.601067047776414,-15.752340247413812,0.2708383553833702,87.4059817493175,7.865909084711788
230,4,5,-11.871905403159785,-15.752340247413812,0.2708383553833702,87.67682010470088,7.890282586816123
231,3,6,-12.142743758543155,-15.37521025277899,0.4643064156352247,88.1411265203361,7.932066821484519
232,3,7,-12.142743758543155,-14.998080258144169,0.3771299946348208,88.51825651497091,7.966005805882902
233,4,7,-11.871905403159785,-14.998080258144169,0.2708383553833702,88.78909487035429,7.9903793079872365
234,4,6,-11.871905403159785,-15.37521025277899,0.3771299946348208,89.16622486498912,8.024318292385619
235,4,5,-11.871905403159785,-15.752340247413812,0.37712999463482255,89.54335485962395,8.058257276784001
236,4,4,-11.871905403159785,-16.129470242048633,0.3771299946348208,89.92048485425877,8.092196261182384
237,5,3,-11.601067047776414,-16.506600236683454,0.46430641563522324,90.384791269894,8.13398049585078
238,6,3,-11.330228692393044,-16.506600236683454,0.2708383553833702,90.65562962527737,8.158353997955116
239,6,2,-11.330228692393044,-16.883730231318275,0.3771299946348208,91.03275961991218,8.192292982353498
240,7,2,-11.059390337009674,-16.883730231318275,0.2708383553833702,91.30359797529556,8.216666484457834
241,7,3,-11.059390337009674,-16.506600236683454,0.3771299946348208,91.68072796993039,8.250605468856216
242,8,3,-10.788551981626304,-16.506600236683454,0.2708383553833702,91.95156632531376,8.274978970960552
243,8,4,-10.788551981626304,-16.129470242048633,0.3771299946348208,92.32869631994859,8.308917955358934
244,8,5,-10.788551981626304,-15.752340247413812,0.3771299946348208,92.70582631458342,8.342856939757317
245,8,6,-10.788551981626304,-15.37521025277899,0.37712999463482255,93.08295630921825,8.376795924155699
246,8,7,-10.788551981626304,-14.998080258144169,0.3771299946348208,93.46008630385307,8.410734908554081
247,7,8,-11.059390337009674,-14.620950263509346,0.4643064156352247,93.9243927194883,8.452519143222478
248,6,8,-11.330228692393044,-14.620950263509346,0.2708383553833702,94.19523107487167,8.476892645326814
249,5,8,-11.601067047776414,-14.620950263509346,0.2708383553833702,94.46606943025505,8.50126614743115
250,4,8,-11.871905403159785,-14.620950263509346,0.2708383553833702,94.73690778563842,8.525639649535485
251,3,8,-12.142743758543155,-14.620950263509346,0.2708383553833702,95.0077461410218,8.55001315163982
252,2,8,-12.413582113926525,-14.620950263509346,0.2708383553833702,95.27858449640517,8.574386653744156
253,2,7,-12.413582113926525,-14.998080258144169,0.37712999463482255,95.65571449104,8.608325638142539
254,2,6,-12.413582113926525,-15.37521025277899,0.3771299946348208,96.03284448567481,8.642264622540921
255,3,5,-12.142743758543155,-15.752340247413812,0.4643064156352247,96.49715090131004,8.684048857209318
256,4,4,-11.871905403159785,-16.129470242048633,0.46430641563522324,96.96145731694526,8.725833091877714
257,5,3,-11.601067047776414,-16.506600236683454,0.46430641563522324,97.42576373258048,8.76761732654611
258,6,2,-11.330228692393044,-16.883730231318275,0.46430641563522324,97.8900701482157,8.809401561214507
259,7,2,-11.059390337009674,-16.883730231318275,0.2708383553833702,98.16090850359907,8.833775063318843
260,8,2,-10.788551981626304,-16.883730231318275,0.2708383553833702,98.43174685898245,8.858148565423178
261,7,1,-11.059390337009674,-17.2608602259531,0.4643064156352261,98.89605327461767,8.899932800091575
262,6,1,-11.330228692393044,-17.2608602259531,0.2708383553833702,99.16689163000105,8.92430630219591
263,5,1,-11.601067047776414,-17.2608602259531,0.2708383553833702,99.43772998538442,8.948679804300246
264,4,0,-11.871905403159785,-17.63799022058792,0.46430641563522324,99.90203640101964,8.990464038968643
265,3,1,-12.142743758543155,-17.2608602259531,0.46430641563522324,100.36634281665486,9.03224827363704
266,3,2,-12.142743758543155,-16.883730231318275,0.37712999463482433,100.74347281128969,9.066187258035422
267,3,3,-12.142743758543155,-16.506600236683454,0.3771299946348208,101.1206028059245,9.100126242433804
268,2,4,-12.413582113926525,-16.129470242048633,0.46430641563522324,101.58490922155973,9.1419104771022
269,1,3,-12.684420469309895,-16.506600236683454,0.46430641563522324,102.04921563719495,9.183694711770597
270,1,2,-12.684420469309895,-16.883730231318275,0.3771299946348208,102.42634563182978,9.21763369616898
271,1,1,-12.684420469309895,-17.2608602259531,0.37712999463482433,102.8034756264646,9.251572680567362
272,2,1,-12.413582113926525,-17.2608602259531,0.2708383553833702,103.07431398184798,9.275946182671698
273,2,2,-12.413582113926525,-16.883730231318275,0.37712999463482433,103.4514439764828,9.30988516707008
274,2,3,-12.413582113926525,-16.506600236683454,0.3771299946348208,103.82857397111763,9.343824151468462
275,1,4,-12.684420469309895,-16.129470242048633,0.46430641563522324,104.29288038675286,9.385608386136859
276,0,4,-12.955258824693265,-16.129470242048633,0.2708383553833702,104.56371874213623,9.409981888241195
277,0,3,-12.955258824693265,-16.506600236683454,0.3771299946348208,104.94084873677104,9.443920872639577
